"","DATETIME","preclose","open","high","low","last","volume","amount"
"1",2017-03-23 09:15:09,9.16,0,0,0,0,0,0
"2",2017-03-23 09:15:18,9.16,0,0,0,0,0,0
"3",2017-03-23 09:15:27,9.16,0,0,0,0,0,0
"4",2017-03-23 09:15:36,9.16,0,0,0,0,0,0
"5",2017-03-23 09:15:54,9.16,0,0,0,0,0,0
"6",2017-03-23 09:16:21,9.16,0,0,0,0,0,0
"7",2017-03-23 09:16:30,9.16,0,0,0,0,0,0
"8",2017-03-23 09:16:39,9.16,0,0,0,0,0,0
"9",2017-03-23 09:16:48,9.16,0,0,0,0,0,0
"10",2017-03-23 09:16:57,9.16,0,0,0,0,0,0
"11",2017-03-23 09:17:06,9.16,0,0,0,0,0,0
"12",2017-03-23 09:17:15,9.16,0,0,0,0,0,0
"13",2017-03-23 09:17:33,9.16,0,0,0,0,0,0
"14",2017-03-23 09:18:18,9.16,0,0,0,0,0,0
"15",2017-03-23 09:18:36,9.16,0,0,0,0,0,0
"16",2017-03-23 09:19:03,9.16,0,0,0,0,0,0
"17",2017-03-23 09:19:12,9.16,0,0,0,0,0,0
"18",2017-03-23 09:19:21,9.16,0,0,0,0,0,0
"19",2017-03-23 09:19:30,9.16,0,0,0,0,0,0
"20",2017-03-23 09:19:39,9.16,0,0,0,0,0,0
"21",2017-03-23 09:19:57,9.16,0,0,0,0,0,0
"22",2017-03-23 09:20:09,9.16,0,0,0,0,0,0
"23",2017-03-23 09:20:18,9.16,0,0,0,0,0,0
"24",2017-03-23 09:20:36,9.16,0,0,0,0,0,0
"25",2017-03-23 09:20:45,9.16,0,0,0,0,0,0
"26",2017-03-23 09:20:54,9.16,0,0,0,0,0,0
"27",2017-03-23 09:21:03,9.16,0,0,0,0,0,0
"28",2017-03-23 09:21:21,9.16,0,0,0,0,0,0
"29",2017-03-23 09:21:30,9.16,0,0,0,0,0,0
"30",2017-03-23 09:21:39,9.16,0,0,0,0,0,0
"31",2017-03-23 09:21:57,9.16,0,0,0,0,0,0
"32",2017-03-23 09:22:06,9.16,0,0,0,0,0,0
"33",2017-03-23 09:22:15,9.16,0,0,0,0,0,0
"34",2017-03-23 09:22:33,9.16,0,0,0,0,0,0
"35",2017-03-23 09:22:51,9.16,0,0,0,0,0,0
"36",2017-03-23 09:23:00,9.16,0,0,0,0,0,0
"37",2017-03-23 09:23:09,9.16,0,0,0,0,0,0
"38",2017-03-23 09:23:18,9.16,0,0,0,0,0,0
"39",2017-03-23 09:23:27,9.16,0,0,0,0,0,0
"40",2017-03-23 09:23:36,9.16,0,0,0,0,0,0
"41",2017-03-23 09:23:45,9.16,0,0,0,0,0,0
"42",2017-03-23 09:23:54,9.16,0,0,0,0,0,0
"43",2017-03-23 09:24:03,9.16,0,0,0,0,0,0
"44",2017-03-23 09:24:12,9.16,0,0,0,0,0,0
"45",2017-03-23 09:24:21,9.16,0,0,0,0,0,0
"46",2017-03-23 09:24:30,9.16,0,0,0,0,0,0
"47",2017-03-23 09:24:39,9.16,0,0,0,0,0,0
"48",2017-03-23 09:24:48,9.16,0,0,0,0,0,0
"49",2017-03-23 09:24:57,9.16,0,0,0,0,0,0
"50",2017-03-23 09:25:03,9.16,9.16,9.16,9.16,9.16,556500,5097540
